,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,
,Mycobacterium phage Tweety,Mycobacterium smegmatis,myc,NC_009820,YP_001469242.1,TC-HK97,TC-HK97,0.0000006,38.6,16,109,1,0,1,
,Mycobacterium phage Tweety,Mycobacterium smegmatis,myc,NC_009820,YP_001469242.1,TC-Che12,TC-Che12,0.7,18.5,20,100,0,0,0,
,Serratia proteamaculans 568,0,0,NC_009832,YP_001476560.1,TC-Phi297,TC-Phi297,4.1,15.6,4,122,0,0,0,
,Serratia proteamaculans 568,0,0,NC_009832,YP_001480323.1,TC-Phi297,TC-Phi297,1.6,17,4,122,0,0,0,
,Prochlorococcus marinus str. MIT 9215,0,0,NC_009840,YP_001484961.1,TC-ListeriaB025,TC-ListeriaB025,2.5,16.3,1,50,0,0,0,
,Bacillus pumilus SAFR-032,0,0,NC_009848,YP_001487980.1,TC-phiC2,TC-phiC2,0,262.1,1,163,0,0,0,
,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001490594.1,TC-Mu,TC-Mu,0.00000012,40,8,151,0,0,0,
,Mycobacterium phage U2,0,myc,NC_009877,YP_001491589.1,TC-Che12,TC-Che12,0.000000036,41.9,7,96,0,0,0,
,Mycobacterium phage Bethlehem,0,myc,NC_009878,YP_001491670.1,TC-Che12,TC-Che12,0.000000036,41.9,7,96,0,0,0,
,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001516111.1,TC-Lam,TC-Lam,4.6,15.1,66,129,0,0,0,
,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001525068.1,TC-Mu,TC-Mu,0.000031,32.2,10,157,0,0,0,
,Salinispora arenicola CNS-205,0,0,NC_009953,YP_001537790.1,TC-Che12,TC-Che12,1.9,17.2,1,74,0,1,1,
,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001543435.1,TC-HK97,TC-HK97,0.0063,25.7,8,139,1,1,1,
,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001543435.1,TC-Adjutor,TC-Adjutor,6.5,14.9,40,96,1,0,1,
,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001543435.1,TC-Adjutor,TC-Adjutor,6.5,14.9,102,140,0,0,0,
,Shewanella baltica OS195,0,0,NC_009997,YP_001553228.1,TC-ShewanellaB,TC-ShewanellaB,0,401.8,1,185,0,0,0,
,Shewanella baltica OS195,0,0,NC_009997,YP_001554567.1,TC-Mu,TC-Mu,5.30E-22,86.6,10,150,0,0,0,
,Shewanella baltica OS195,0,0,NC_009997,YP_001555331.1,TC-Mu,TC-Mu,1.00E-29,111.6,4,151,0,1,1,
,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560057.1,TC-HK97,TC-HK97,1.5,18,13,142,1,1,1,
,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560057.1,TC-T1,TC-T1,0.28,19.1,1,135,1,1,1,
,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560057.1,TC-T1,TC-T1,0.28,19.1,1,135,1,1,1,
,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560057.1,TC-Che12,TC-Che12,0.018,23.6,13,65,1,1,1,
,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560057.1,TC-Che12,TC-Che12,0.018,23.6,68,129,1,0,1,
,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560057.1,TC-JCL103,TC-JCL103,0.024,23,8,148,0,0,0,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001562666.1,TC-HK97,TC-HK97,0,61.3,12,134,0,1,1,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001564268.1,U_TC_Fam5,U_TC_Fam5,3.40E-29,110.4,10,187,1,1,1,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001564268.1,TC-T1,TC-T1,1.80E-28,107.3,1,186,1,1,1,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001564268.1,TC-T1,TC-T1,1.80E-28,107.3,1,186,1,1,1,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001564268.1,TC-Phi297,TC-Phi297,0.021,23.1,13,177,1,0,1,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001564268.1,TC-HK97,TC-HK97,0.0036,26,87,180,0,0,0,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001565105.1,TC-HK97,TC-HK97,0.00000000019,49.7,2,141,0,0,0,
,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001565705.1,TC-Lam,TC-Lam,0,233.7,1,281,0,0,0,
,Staphylococcus aureus subsp. aureus USA300_TCH1516,0,0,NC_010079,YP_001575335.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,1,1,
,Staphylococcus aureus subsp. aureus USA300_TCH1516,0,0,NC_010079,YP_001575842.1,TC-ListeriaB025,TC-ListeriaB025,1.20E-31,117.6,1,134,1,0,1,
,Staphylococcus aureus subsp. aureus USA300_TCH1516,0,0,NC_010079,YP_001575842.1,TC-HK97,TC-HK97,0.0051,26,9,130,0,0,0,
,Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,0,0,NC_010102,YP_001588375.1,TC-Sfv,TC-Sfv,0,241.6,6,170,0,0,0,
,Enterobacteria phage JS98,Escherichia coli,neg,NC_010105,YP_001595206.1,U_TC_Fam5,U_TC_Fam5,5,15.2,27,86,0,1,1,
,Pseudomonas phage YuA,Pseudomonas aeruginosa,neg,NC_010116,YP_001595891.1,U_TC_Fam5,U_TC_Fam5,0.00035,28.8,17,141,1,1,1,
,Pseudomonas phage YuA,Pseudomonas aeruginosa,neg,NC_010116,YP_001595891.1,TC-T1,TC-T1,1.40E-19,78.5,2,138,1,1,1,
,Pseudomonas phage YuA,Pseudomonas aeruginosa,neg,NC_010116,YP_001595891.1,TC-T1,TC-T1,1.40E-19,78.5,2,138,1,0,1,
,Pseudomonas phage YuA,Pseudomonas aeruginosa,neg,NC_010116,YP_001595891.1,TC-HK97,TC-HK97,0.0002,30.1,6,140,0,0,0,
,Neisseria meningitidis 053442,0,0,NC_010120,YP_001599166.1,TC-Mu,TC-Mu,0,64.9,7,134,0,1,1,
,Staphylococcus phage phiMR11,Staphylococcus aureus,pos,NC_010147,YP_001604139.1,TC-HK97,TC-HK97,0,59.2,1,113,1,1,1,
,Staphylococcus phage phiMR11,Staphylococcus aureus,pos,NC_010147,YP_001604139.1,U_TC_Fam7,U_TC_Fam7,2.5,16.3,1,115,1,0,1,
,Staphylococcus phage phiMR11,Staphylococcus aureus,pos,NC_010147,YP_001604139.1,U_TC_Fam7,U_TC_Fam7,2.5,16.3,1,115,0,1,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001604832.1,TC-HK97,TC-HK97,4.1,16.1,2,77,1,0,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001604832.1,TC-HK97,TC-HK97,4.1,16.1,137,276,0,0,0,
,Yersinia pestis Angola,0,0,NC_010159,YP_001605930.1,TC-Mu,TC-Mu,0.52,18.5,32,111,0,1,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001606646.1,U_TC_Fam5,U_TC_Fam5,0,437,1,194,1,1,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001606646.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001606646.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001606646.1,TC-Phi297,TC-Phi297,0,204.1,4,184,1,0,1,
,Yersinia pestis Angola,0,0,NC_010159,YP_001606646.1,TC-HK97,TC-HK97,1.9,17.2,64,187,0,1,1,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001608814.1,TC-Lam,TC-Lam,0.19,19.6,1,136,1,0,1,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001608814.1,TC-Lam,TC-Lam,0.19,19.6,87,186,0,1,1,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001608977.1,TC-Lam,TC-Lam,0.17,19.8,1,137,1,0,1,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001608977.1,TC-Lam,TC-Lam,0.17,19.8,91,186,0,1,1,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001609347.1,TC-Lam,TC-Lam,0.17,19.8,1,137,1,0,1,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001609347.1,TC-Lam,TC-Lam,0.17,19.8,91,186,0,0,0,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001609601.1,TC-Mu,TC-Mu,0.000000021,42.5,11,160,0,0,0,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001609646.1,TC-Mu,TC-Mu,0.000000021,42.5,11,160,0,0,0,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001609755.1,TC-Mu,TC-Mu,0.000000021,42.5,11,160,0,0,0,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001610092.1,TC-Mu,TC-Mu,0.000000021,42.5,11,160,0,0,0,
,Bartonella tribocorum CIP 105476,0,0,NC_010161,YP_001610567.1,TC-Mu,TC-Mu,0.000000021,42.5,11,160,0,0,0,
,Sorangium cellulosum So ce56,0,0,NC_010162,YP_001612280.1,TC-ShewanellaB,TC-ShewanellaB,8.00E+00,14.7,80,158,0,1,1,
,Acholeplasma laidlawii PG-8A,0,0,NC_010163,YP_001620608.1,TC-JCL103,TC-JCL103,0,50.2,1,124,1,1,1,
,Acholeplasma laidlawii PG-8A,0,0,NC_010163,YP_001620608.1,TC-HK97,TC-HK97,0.0000009,38,9,116,1,0,1,
,Acholeplasma laidlawii PG-8A,0,0,NC_010163,YP_001620608.1,TC-ListeriaB025,TC-ListeriaB025,5.5,15.2,3,104,0,0,0,
,Bordetella petrii DSM 12804,0,0,NC_010170,YP_001633028.1,TC-Mu,TC-Mu,4.90E-16,67.2,12,165,0,0,0,
,Chloroflexus aurantiacus J-10-fl,0,0,NC_010175,YP_001634639.1,TC-phiC2,TC-phiC2,5,15,126,160,0,1,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646225.1,TC-JCL103,TC-JCL103,5.70E-31,115.6,1,118,1,1,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646225.1,TC-HK97,TC-HK97,4.2,16.6,9,114,1,1,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646225.1,TC-T1,TC-T1,0.097,20.6,1,113,1,1,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646225.1,TC-T1,TC-T1,0.097,20.6,1,113,1,0,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646225.1,TC-HK97,TC-HK97,0.056,22.1,1,112,0,1,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646385.1,TC-JCL103,TC-JCL103,1.80E-37,136.7,1,114,1,0,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646385.1,TC-HK97,TC-HK97,0.63,19.2,6,104,0,1,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646716.1,TC-JCL103,TC-JCL103,4.7,15.7,6,82,1,0,1,
,Bacillus weihenstephanensis KBAB4,0,0,NC_010184,YP_001646716.1,TC-JCL103,TC-JCL103,4.7,15.7,183,290,0,0,0,
,Vibrio phage kappa,Vibrio cholerae,neg,NC_010275,YP_001650893.1,TC-Mu,TC-Mu,1.80E-41,149.7,7,142,0,0,0,
,Microcystis aeruginosa NIES-843,0,0,NC_010296,YP_001659020.1,TC-phiC2,TC-phiC2,3.5,15.5,281,380,0,0,0,
,Thermoanaerobacter sp. X514,0,0,NC_010320,YP_001662888.1,TC-HK97,TC-HK97,0.00000000012,50.5,10,130,0,1,1,
,Pseudomonas putida GB-1,0,0,NC_010322,YP_001669638.1,U_TC_Fam5,U_TC_Fam5,3.70E-36,133.1,13,224,1,1,1,
,Pseudomonas putida GB-1,0,0,NC_010322,YP_001669638.1,TC-T1,TC-T1,7.57E-44,157.1,6,224,1,1,1,
,Pseudomonas putida GB-1,0,0,NC_010322,YP_001669638.1,TC-T1,TC-T1,7.57E-44,157.1,6,224,1,1,1,
,Pseudomonas putida GB-1,0,0,NC_010322,YP_001669638.1,TC-Phi297,TC-Phi297,0.00000023,39.2,15,213,1,1,1,
,Pseudomonas putida GB-1,0,0,NC_010322,YP_001669638.1,TC-HK97,TC-HK97,0.0073,25,4,130,1,0,1,
,Pseudomonas putida GB-1,0,0,NC_010322,YP_001669638.1,TC-HK97,TC-HK97,0.0073,25,59,220,0,0,0,
,Shewanella halifaxensis HAW-EB4,0,0,NC_010334,YP_001673351.1,TC-TPSY,TC-TPSY,9.3,14.1,241,305,0,0,0,
,Shewanella halifaxensis HAW-EB4,0,0,NC_010334,YP_001673554.1,TC-Mu,TC-Mu,0.33,19.2,8,136,0,0,0,
,Heliobacterium modesticaldum Ice1,0,0,NC_010337,YP_001679381.1,TC-Mu,TC-Mu,6.4,15,208,329,0,0,0,
,Heliobacterium modesticaldum Ice1,0,0,NC_010337,YP_001681397.1,TC-HK97,TC-HK97,0.00000000074,47.9,10,130,0,0,0,
,Heliobacterium modesticaldum Ice1,0,0,NC_010337,YP_001681484.1,TC-HK97,TC-HK97,0,52,10,130,0,0,0,
,Caulobacter sp. K31,0,0,NC_010338,YP_001685115.1,TC-HK97,TC-HK97,0,57.5,8,103,0,0,0,
,Streptococcus phage 858,Streptococcus thermophilus,pos,NC_010353,YP_001686808.1,TC-HK97,TC-HK97,0,54,7,106,0,0,0,
,Finegoldia magna ATCC 29328,0,0,NC_010376,YP_001692353.1,TC-ListeriaB025,TC-ListeriaB025,9.5,14.4,34,118,0,1,1,
,Streptococcus pneumoniae Hungary19A-6,0,0,NC_010380,YP_001693480.1,TC-JCL103,TC-JCL103,0,51.5,6,109,1,0,1,
,Streptococcus pneumoniae Hungary19A-6,0,0,NC_010380,YP_001693480.1,TC-HK97,TC-HK97,0.026,23.7,6,104,0,0,0,
,Streptococcus pneumoniae Hungary19A-6,0,0,NC_010380,YP_001693532.1,TC-BCJA1C,TC-BCJA1C,0,168.5,1,113,0,1,1,
,Lysinibacillus sphaericus C3-41,0,0,NC_010382,YP_001699369.1,TC-Lam,TC-Lam,9.3,14.1,1,90,1,0,1,
,Lysinibacillus sphaericus C3-41,0,0,NC_010382,YP_001699369.1,TC-Lam,TC-Lam,9.3,14.1,85,180,0,0,0,
,Acinetobacter baumannii SDF,0,0,NC_010400,YP_001706556.1,TC-HK97,TC-HK97,0,64,12,136,0,1,1,
,Acinetobacter baumannii SDF,0,0,NC_010400,YP_001707166.1,U_TC_Fam5,U_TC_Fam5,0.0025,26,5,138,1,1,1,
,Acinetobacter baumannii SDF,0,0,NC_010400,YP_001707166.1,TC-T1,TC-T1,3.64E-44,158.2,1,140,1,1,1,
,Acinetobacter baumannii SDF,0,0,NC_010400,YP_001707166.1,TC-T1,TC-T1,3.64E-44,158.2,1,140,1,0,1,
,Acinetobacter baumannii SDF,0,0,NC_010400,YP_001707166.1,TC-HK97,TC-HK97,0.000002,36.6,3,133,0,0,0,
,Acinetobacter baumannii SDF,0,0,NC_010400,YP_001707971.1,TC-Mu,TC-Mu,1.90E-34,127,2,150,0,0,0,
,Acinetobacter baumannii AYE,0,0,NC_010410,YP_001712534.1,TC-Mu,TC-Mu,4.30E-32,119.3,2,147,0,1,1,
,Acinetobacter baumannii AYE,0,0,NC_010410,YP_001714517.1,U_TC_Fam5,U_TC_Fam5,0.16,20.1,9,60,1,1,1,
,Acinetobacter baumannii AYE,0,0,NC_010410,YP_001714517.1,U_TC_Fam5,U_TC_Fam5,0.16,20.1,42,121,1,1,1,
,Acinetobacter baumannii AYE,0,0,NC_010410,YP_001714517.1,TC-T1,TC-T1,0,186.8,1,122,1,1,1,
,Acinetobacter baumannii AYE,0,0,NC_010410,YP_001714517.1,TC-T1,TC-T1,0,186.8,1,122,1,0,1,
,Acinetobacter baumannii AYE,0,0,NC_010410,YP_001714517.1,TC-HK97,TC-HK97,0.14,20.9,6,117,0,0,0,
,Salmonella phage Fels-2,Salmonella typhimurium LT2,neg,NC_010463,YP_001718734.1,TC-Mu,TC-Mu,4.10E-31,116.1,2,146,0,1,1,
,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001719657.1,TC-Mu,TC-Mu,0.023,22.9,9,144,1,0,1,
,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001719657.1,TC-Mu,TC-Mu,0.023,22.9,179,219,0,0,0,
,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001719981.1,TC-HK97,TC-HK97,0.86,18.8,11,79,0,0,0,
,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721067.1,TC-Mu,TC-Mu,2.10E-32,120.3,2,146,0,0,0,
,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721674.1,TC-Mu,TC-Mu,0.53,18.5,32,111,0,0,0,
,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725722.1,TC-Mu,TC-Mu,1.00E-31,118.1,2,147,0,0,0,
,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728322.1,TC-HK97,TC-HK97,0.00000000089,47.7,8,123,0,1,1,
,Salmonella phage Vi II-E1,Salmonella enterica,neg,NC_010495,YP_001742063.1,U_TC_Fam7,U_TC_Fam7,2.94E-44,158.2,1,132,1,1,1,
,Salmonella phage Vi II-E1,Salmonella enterica,neg,NC_010495,YP_001742063.1,U_TC_Fam7,U_TC_Fam7,2.94E-44,158.2,1,132,1,0,1,
,Salmonella phage Vi II-E1,Salmonella enterica,neg,NC_010495,YP_001742063.1,TC-Phi297,TC-Phi297,1.20E-40,147.1,1,132,0,1,1,
,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743254.1,TC-HK97,TC-HK97,1.80E-20,82,11,132,1,0,1,
,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743254.1,TC-HK97,TC-HK97,8.5,15.1,3,103,0,0,0,
,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001746280.1,TC-Mu,TC-Mu,1.40E-31,117.7,2,149,0,0,0,
,Pseudomonas putida W619,0,0,NC_010501,YP_001748217.1,TC-HK97,TC-HK97,0,61.5,13,137,0,0,0,
,Pseudomonas putida W619,0,0,NC_010501,YP_001750787.1,TC-HK97,TC-HK97,0.0000000021,46.5,12,146,0,0,0,
,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001755303.1,TC-Lam,TC-Lam,0.057,21.4,11,280,0,0,0,
,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001755595.1,TC-ShewanellaB,TC-ShewanellaB,5.40E+00,15.3,77,187,0,0,0,
,Shewanella woodyi ATCC 51908,0,0,NC_010506,YP_001760880.1,TC-HK97,TC-HK97,1.7,17.8,1158,1265,0,0,0,
,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001773098.1,TC-TPSY,TC-TPSY,9.5,14.1,9,132,0,0,0,
,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781736.1,TC-BCJA1C,TC-BCJA1C,0.00052,28.3,1,99,0,1,1,
,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782116.1,TC-HK97,TC-HK97,0,61.9,10,117,1,0,1,
,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782116.1,TC-ListeriaB025,TC-ListeriaB025,0.013,23.7,2,127,0,1,1,
,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782670.1,TC-Adjutor,TC-Adjutor,0.00000077,37.4,11,89,1,0,1,
,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782670.1,TC-Adjutor,TC-Adjutor,0.00000077,37.4,86,115,0,1,1,
,Haemophilus somnus 2336,0,0,NC_010519,YP_001784007.1,TC-HK97,TC-HK97,3.4,16.9,10,147,1,1,1,
,Haemophilus somnus 2336,0,0,NC_010519,YP_001784007.1,TC-Mu,TC-Mu,3.30E-17,71,7,157,1,0,1,
,Haemophilus somnus 2336,0,0,NC_010519,YP_001784007.1,TC-Adjutor,TC-Adjutor,2.5,16.3,63,158,0,0,0,
,Haemophilus somnus 2336,0,0,NC_010519,YP_001784253.1,TC-Mu,TC-Mu,7.10E-23,89.4,1,78,0,0,0,
,Haemophilus somnus 2336,0,0,NC_010519,YP_001784487.1,TC-Mu,TC-Mu,0,187.6,2,149,0,0,0,
,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001786837.1,TC-HK97,TC-HK97,0.0000063,35.3,11,108,0,0,0,
,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787267.1,TC-BCJA1C,TC-BCJA1C,0.0069,24.7,1,96,0,1,1,
,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788353.1,TC-Adjutor,TC-Adjutor,0.0000033,35.3,10,97,1,0,1,
,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788353.1,TC-Adjutor,TC-Adjutor,0.0000033,35.3,85,115,0,1,1,
,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001790461.1,TC-Phi297,TC-Phi297,7.7,14.8,1,71,1,0,1,
,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001790461.1,TC-Phi297,TC-Phi297,7.7,14.8,116,184,0,1,1,
,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791277.1,TC-Mu,TC-Mu,0.000025,32.5,12,83,1,0,1,
,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791277.1,TC-Mu,TC-Mu,0.000025,32.5,69,176,0,0,0,
,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001792192.1,TC-HK97,TC-HK97,0,54.2,10,138,0,0,0,
,Polynucleobacter necessarius subsp. necessarius STIR1,0,0,NC_010531,YP_001797340.1,TC-Mu,TC-Mu,0.79,17.9,2,87,0,0,0,
,Exiguobacterium sibiricum 255-15,0,0,NC_010556,YP_001813875.1,TC-JCL103,TC-JCL103,9.5,14.7,18,84,0,0,0,
,Opitutus terrae PB90-1,0,0,NC_010571,YP_001820067.1,TC-ShewanellaB,TC-ShewanellaB,4.5,15.5,2,105,0,0,0,
,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001825744.1,TC-HK97,TC-HK97,2.7,17.2,375,489,0,0,0,
,Lactococcus phage 1706,Lactococcus lactis,pos,NC_010576,YP_001828665.1,TC-JCL103,TC-JCL103,0.14,20.6,1,126,0,0,0,
,Lactobacillus reuteri JCM 1112,0,0,NC_010609,YP_001841789.1,TC-HK97,TC-HK97,0.00015,30.9,25,175,0,0,0,
,Lactobacillus reuteri JCM 1112,0,0,NC_010609,YP_001842053.1,TC-HK97,TC-HK97,0,54.2,11,130,0,0,0,
,Lactobacillus fermentum IFO 3956,0,0,NC_010610,YP_001843291.1,TC-HK97,TC-HK97,0.0026,26.9,49,164,0,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001845706.1,U_TC_Fam5,U_TC_Fam5,0.018,23.2,9,73,1,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001845706.1,U_TC_Fam5,U_TC_Fam5,0.018,23.2,43,121,1,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001845706.1,TC-T1,TC-T1,0,193.5,1,122,1,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001845706.1,TC-T1,TC-T1,0,193.5,1,122,1,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001845706.1,TC-HK97,TC-HK97,0.092,21.5,6,78,1,0,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001845706.1,TC-HK97,TC-HK97,0.092,21.5,66,117,0,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001847390.1,U_TC_Fam5,U_TC_Fam5,0.19,19.9,15,121,1,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001847390.1,TC-T1,TC-T1,0,169.8,1,122,1,1,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001847390.1,TC-T1,TC-T1,0,169.8,1,122,1,0,1,
,Acinetobacter baumannii ACICU,0,0,NC_010611,YP_001847390.1,TC-HK97,TC-HK97,8.2,15.1,5,104,0,0,0,
,Mycobacterium marinum M,0,0,NC_010612,YP_001852159.1,TC-Adjutor,TC-Adjutor,0.00041,28.5,31,118,0,0,0,
,Yersinia pseudotuberculosis PB1/+,0,0,NC_010634,YP_001871677.1,TC-Mu,TC-Mu,0.53,18.5,32,111,0,0,0,
,Yersinia pseudotuberculosis PB1/+,0,0,NC_010634,YP_001872310.1,TC-Mu,TC-Mu,2.10E-32,120.3,2,146,0,1,1,
,Yersinia pseudotuberculosis PB1/+,0,0,NC_010634,YP_001873990.1,TC-Mu,TC-Mu,0.0019,26.4,7,146,1,0,1,
,Yersinia pseudotuberculosis PB1/+,0,0,NC_010634,YP_001873990.1,TC-Mu,TC-Mu,0.0019,26.4,179,219,0,0,0,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879578.1,TC-Lam,TC-Lam,0.46,18.4,1,190,0,1,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879617.1,TC-HK97,TC-HK97,1.00E-17,73.2,12,132,1,0,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879617.1,TC-HK97,TC-HK97,1.7,17.4,7,109,0,1,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879926.1,TC-Lam,TC-Lam,0.015,23.3,1,81,1,0,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879926.1,TC-Lam,TC-Lam,0.015,23.3,74,176,0,1,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001880069.1,TC-Lam,TC-Lam,0.029,22.3,1,81,1,0,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001880069.1,TC-Lam,TC-Lam,0.029,22.3,74,176,0,1,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001880489.1,TC-Mu,TC-Mu,3.00E-18,74.4,114,207,1,0,1,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001880489.1,TC-Mu,TC-Mu,3.00E-18,74.4,3,94,0,0,0,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001885150.1,TC-HK97,TC-HK97,0.00000056,38.7,1,104,0,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-HK97,TC-HK97,0.00063,28.9,8,122,1,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-Adjutor,TC-Adjutor,0.21,19.8,2,101,1,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-phiC2,TC-phiC2,0.0045,24.9,3,119,1,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-T1,TC-T1,0.088,20.8,2,68,1,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-T1,TC-T1,0.088,20.8,57,104,1,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-T1,TC-T1,0.088,20.8,2,68,1,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-T1,TC-T1,0.088,20.8,57,104,1,0,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886103.1,TC-HK97,TC-HK97,0.31,19.7,6,104,0,1,1,
